CommodityName,CommodityCode,CommodityGroupCode,CommodityGroupName
Groundnut(Split),265,3,Oil Seeds
Guar,62,6,Vegetables
Guar Seed(Cluster Beans Seed),342,2,Pulses
Guava,156,5,Fruits
Gudmar,382,12,Forest Products
Guggal,383,12,Forest Products
Gur(Jaggery),61,10,Others
Gurellu,232,3,Oil Seeds
Haralekai,208,10,Others
Harrah,441,12,Forest Products
He Buffalo,175,13,"Live Stock,Poultry,Fisheries"
Heliconia species,403,14,Flowers
Hen,316,13,"Live Stock,Poultry,Fisheries"
Hilsa,485,10,Others
Hippe Seed,108,12,Forest Products
Hog Plum,486,5,Fruits
Honey,194,10,Others
Honge seed,107,3,Oil Seeds
Hybrid Cumbu,102,1,Cereals
Indian Beans(Seam),250,6,Vegetables
Indian Colza(Sarson),292,6,Vegetables
Indian Sherbet Berry(Phalsa),487,5,Fruits
Irish,394,14,Flowers
Isabgul(Psyllium),212,11,Drug and Narcotics
Isbgol,488,11,Drug and Narcotics
Jack Fruit,153,5,Fruits
Jackfruit Seed,489,6,Vegetables
Jaee,442,1,Cereals
Jaffri,335,14,Flowers
Jaggery,123,10,Others
Jamamkhan,147,6,Vegetables
Jamun(Narale Hannu),155,5,Fruits
Jarbara,323,14,Flowers
Jasmine,187,14,Flowers
Javi,207,10,Others
Jowar(Sorghum),5,1,Cereals
Jute,16,4,Fibre Crops
Jute Seed,170,12,Forest Products
Kabuli Chana(Chickpeas-White),309,2,Pulses
Kacholam,268,7,Spices
Kagda,490,14,Flowers
Kakada,188,14,Flowers
Kalihari,385,12,Forest Products
Kalmegh,386,12,Forest Products
Kankambra,191,14,Flowers
Karamani,99,2,Pulses
Karbuja(Musk Melon),157,5,Fruits
Kartali(Kantola),256,6,Vegetables
Kevda,410,14,Flowers
Kharif Mash,50,10,Others
Khirni,443,5,Fruits
Khoya,319,10,Others
Kidney Beans(Rajma),491,2,Pulses
Kinnow,284,5,Fruits
Kiwi Fruit,492,5,Fruits
Knool Khol,149,6,Vegetables
Kodo Millet(Varagu),101,1,Cereals
Kooth,388,12,Forest Products
Kuchur,200,10,Others
Kuchur - Kusum Seed,493,3,Oil Seeds
Kulthi(Horse Gram),98,2,Pulses
Kutki,344,1,Cereals
Ladies Finger,127,6,Vegetables
Laha,444,3,Oil Seeds
Lak(Teora),81,2,Pulses
Large Cardamom,494,7,Spices
Leafy Vegetable,143,6,Vegetables
Leek,495,6,Vegetables
Lemon,261,6,Vegetables
Lemongrass,496,11,Drug and Narcotics
Lentil(Masur)(Whole),52,2,Pulses
